period,mmm_b2c_acq_dma,inbound_call_volume
2018-04-08,EUREKA CA,89
2018-04-08,GREENVILLE-NEW BERN-WASH NC,376
2018-04-08,HOUSTON TX,367
2018-04-08,JONESBORO AR,83
2018-04-08,LAKE CHARLES LA,233
2018-04-08,LITTLE ROCK AR,230
2018-04-08,LUBBOCK TX,308
2018-04-08,MONROE-EL DORADO LA-AR,105
2018-04-08,"NEW YORK, NY",7961
2018-04-08,ODESSA-MIDLAND TX,203
2018-04-08,OKLAHOMA CITY OK,144
2018-04-08,PARKERSBURG WV,100
2018-04-08,PHOENIX AZ,387
2018-04-08,RALEIGH-DURHAM NC,206
2018-04-08,SAN ANGELO TX,108
2018-04-08,SHREVEPORT LA,191
2018-04-08,SPRINGFIELD MO,171
2018-04-08,ST JOSEPH MO,72
2018-04-08,TULSA OK,56
2018-04-08,TYLER-LONGVIEW TX,371
2018-04-08,VICTORIA TX,78
2018-04-08,WACO-TEMPLE-BRYAN TX,137
2018-04-15,ABILENE-SWEETWATER TX,141
2018-04-15,ALEXANDRIA LA,207
2018-04-15,AMARILLO TX,274
2018-04-15,AUSTIN TX,141
2018-04-15,All Other Suddenlink DMA Total,529
2018-04-15,BLUEFIELD-BECKLEY-OAK HILL WV,238
2018-04-15,CHARLESTON-HUNTINGTON WV,378
2018-04-15,DALLAS-FT WORTH TX,392
2018-04-15,EUREKA CA,84
2018-04-15,GREENVILLE-NEW BERN-WASH NC,444
2018-04-15,HOUSTON TX,339
2018-04-15,JONESBORO AR,86
2018-04-15,LAKE CHARLES LA,195
2018-04-15,LITTLE ROCK AR,210
2018-04-15,LUBBOCK TX,326
2018-04-15,MONROE-EL DORADO LA-AR,94
2018-04-15,"NEW YORK, NY",8583
2018-04-15,ODESSA-MIDLAND TX,217
2018-04-15,OKLAHOMA CITY OK,191
2018-04-15,PARKERSBURG WV,109
2018-04-15,PHOENIX AZ,411
2018-04-15,RALEIGH-DURHAM NC,196
2018-04-15,SAN ANGELO TX,78
2018-04-15,SHREVEPORT LA,229
2018-04-15,SPRINGFIELD MO,148
2018-04-15,ST JOSEPH MO,83
2018-04-15,TULSA OK,77
2018-04-15,TYLER-LONGVIEW TX,371
2018-04-15,VICTORIA TX,70
2018-04-15,WACO-TEMPLE-BRYAN TX,124
2018-04-22,ABILENE-SWEETWATER TX,113
2018-04-22,ALEXANDRIA LA,134
2018-04-22,AMARILLO TX,155
2018-04-22,AUSTIN TX,134
2018-04-22,All Other Suddenlink DMA Total,380
2018-04-22,BLUEFIELD-BECKLEY-OAK HILL WV,134
2018-04-22,CHARLESTON-HUNTINGTON WV,254
2018-04-22,DALLAS-FT WORTH TX,290
2018-04-22,EUREKA CA,79
2018-04-22,GREENVILLE-NEW BERN-WASH NC,332
2018-04-22,HOUSTON TX,256
2018-04-22,JONESBORO AR,78
2018-04-22,LAKE CHARLES LA,146
2018-04-22,LITTLE ROCK AR,140
2018-04-22,LUBBOCK TX,195
2018-04-22,MONROE-EL DORADO LA-AR,76
2018-04-22,"NEW YORK, NY",8953
2018-04-22,ODESSA-MIDLAND TX,132
2018-04-22,OKLAHOMA CITY OK,111
2018-04-22,PARKERSBURG WV,66
2018-04-22,PHOENIX AZ,286
2018-04-22,RALEIGH-DURHAM NC,162
2018-04-22,SAN ANGELO TX,76
2018-04-22,SHREVEPORT LA,162
2018-04-22,SPRINGFIELD MO,98
2018-04-22,ST JOSEPH MO,37
2018-04-22,TULSA OK,42
2018-04-22,TYLER-LONGVIEW TX,284
2018-04-22,VICTORIA TX,57
2018-04-22,WACO-TEMPLE-BRYAN TX,94
2018-04-29,ABILENE-SWEETWATER TX,140
2018-04-29,ALEXANDRIA LA,233
2018-04-29,AMARILLO TX,254
2018-04-29,AUSTIN TX,170
2018-04-29,All Other Suddenlink DMA Total,541
2018-04-29,BLUEFIELD-BECKLEY-OAK HILL WV,207
2018-04-29,CHARLESTON-HUNTINGTON WV,369
2018-04-29,DALLAS-FT WORTH TX,457
2018-04-29,EUREKA CA,68
2018-04-29,GREENVILLE-NEW BERN-WASH NC,355
2018-04-29,HOUSTON TX,368
2018-04-29,JONESBORO AR,87
2018-04-29,LAKE CHARLES LA,203
2018-04-29,LITTLE ROCK AR,245
2018-04-29,LUBBOCK TX,293
2018-04-29,MONROE-EL DORADO LA-AR,96
2018-04-29,"NEW YORK, NY",9219
