period,mmm_b2c_acq_dma,unique_pageviews,users
2020-12-27,PHOENIX AZ,1725.0,1547.0
2020-12-27,RALEIGH-DURHAM NC,556.0,491.0
2020-12-27,SAN ANGELO TX,518.0,458.0
2020-12-27,SHREVEPORT LA,910.0,802.0
2020-12-27,SPRINGFIELD MO,1200.0,1040.0
2020-12-27,ST JOSEPH MO,351.0,315.0
2020-12-27,TULSA OK,430.0,370.0
2020-12-27,TYLER-LONGVIEW TX,2383.0,2146.0
2020-12-27,VICTORIA TX,309.0,284.0
2020-12-27,WACO-TEMPLE-BRYAN TX,1020.0,896.0
2021-01-03,ABILENE-SWEETWATER TX,892.0,795.0
2021-01-03,ALEXANDRIA LA,769.0,695.0
2021-01-03,AMARILLO TX,1075.0,967.0
2021-01-03,AUSTIN TX,1618.0,1458.0
2021-01-03,All Other Suddenlink DMA Total,3825.0,3377.0
2021-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,1039.0,924.0
2021-01-03,CHARLESTON-HUNTINGTON WV,2138.0,1901.0
2021-01-03,DALLAS-FT WORTH TX,3228.0,2855.0
2021-01-03,EUREKA CA,572.0,502.0
2021-01-03,GREENVILLE-NEW BERN-WASH NC,1801.0,1636.0
2021-01-03,HOUSTON TX,2585.0,2295.0
2021-01-03,JONESBORO AR,469.0,441.0
2021-01-03,LAKE CHARLES LA,709.0,646.0
2021-01-03,LITTLE ROCK AR,1873.0,1652.0
2021-01-03,LUBBOCK TX,1181.0,1061.0
2021-01-03,MONROE-EL DORADO LA-AR,501.0,444.0
2021-01-03,"NEW YORK, NY",38041.0,33732.0
2021-01-03,ODESSA-MIDLAND TX,830.0,721.0
2021-01-03,OKLAHOMA CITY OK,1007.0,889.0
2021-01-03,PARKERSBURG WV,762.0,680.0
2021-01-03,PHOENIX AZ,1972.0,1738.0
2021-01-03,RALEIGH-DURHAM NC,628.0,560.0
2021-01-03,SAN ANGELO TX,580.0,513.0
2021-01-03,SHREVEPORT LA,987.0,886.0
2021-01-03,SPRINGFIELD MO,1258.0,1118.0
2021-01-03,ST JOSEPH MO,399.0,358.0
2021-01-03,TULSA OK,394.0,349.0
2021-01-03,TYLER-LONGVIEW TX,2664.0,2329.0
2021-01-03,VICTORIA TX,352.0,308.0
2021-01-03,WACO-TEMPLE-BRYAN TX,1201.0,1067.0
2021-01-10,ABILENE-SWEETWATER TX,817.0,734.0
2021-01-10,ALEXANDRIA LA,676.0,606.0
2021-01-10,AMARILLO TX,947.0,863.0
2021-01-10,AUSTIN TX,1581.0,1416.0
2021-01-10,All Other Suddenlink DMA Total,3137.0,2780.0
2021-01-10,BLUEFIELD-BECKLEY-OAK HILL WV,933.0,825.0
2021-01-10,CHARLESTON-HUNTINGTON WV,1813.0,1614.0
2021-01-10,DALLAS-FT WORTH TX,3059.0,2716.0
2021-01-10,EUREKA CA,730.0,673.0
2021-01-10,GREENVILLE-NEW BERN-WASH NC,1594.0,1437.0
2021-01-10,HOUSTON TX,2339.0,2083.0
