period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2017-03-12,All Other Suddenlink DMA Total,948,685
2017-03-12,BLUEFIELD-BECKLEY-OAK HILL WV,204,170
2017-03-12,CHARLESTON-HUNTINGTON WV,449,364
2017-03-12,DALLAS-FT WORTH TX,400,346
2017-03-12,EUREKA CA,146,101
2017-03-12,GREENVILLE-NEW BERN-WASH NC,390,307
2017-03-12,HOUSTON TX,422,341
2017-03-12,JONESBORO AR,145,115
2017-03-12,LAKE CHARLES LA,293,242
2017-03-12,LITTLE ROCK AR,350,268
2017-03-12,LUBBOCK TX,364,259
2017-03-12,MONROE-EL DORADO LA-AR,148,124
2017-03-12,ODESSA-MIDLAND TX,258,203
2017-03-12,OKLAHOMA CITY OK,309,245
2017-03-12,PARKERSBURG WV,143,112
2017-03-12,PHOENIX AZ,401,303
2017-03-12,RALEIGH-DURHAM NC,124,102
2017-03-12,SAN ANGELO TX,311,239
2017-03-12,SHREVEPORT LA,305,237
2017-03-12,SPRINGFIELD MO,232,189
2017-03-12,ST JOSEPH MO,115,81
2017-03-12,TULSA OK,123,98
2017-03-12,TYLER-LONGVIEW TX,555,420
2017-03-12,VICTORIA TX,137,111
2017-03-12,WACO-TEMPLE-BRYAN TX,227,180
2017-03-19,ABILENE-SWEETWATER TX,254,180
2017-03-19,ALEXANDRIA LA,211,157
2017-03-19,AMARILLO TX,435,293
2017-03-19,AUSTIN TX,186,142
2017-03-19,All Other Suddenlink DMA Total,717,512
2017-03-19,BLUEFIELD-BECKLEY-OAK HILL WV,134,104
2017-03-19,CHARLESTON-HUNTINGTON WV,433,351
2017-03-19,DALLAS-FT WORTH TX,408,358
2017-03-19,EUREKA CA,145,115
2017-03-19,GREENVILLE-NEW BERN-WASH NC,380,288
2017-03-19,HOUSTON TX,370,299
2017-03-19,JONESBORO AR,145,87
2017-03-19,LAKE CHARLES LA,252,205
2017-03-19,LITTLE ROCK AR,287,215
2017-03-19,LUBBOCK TX,381,293
2017-03-19,MONROE-EL DORADO LA-AR,104,70
2017-03-19,ODESSA-MIDLAND TX,212,177
2017-03-19,OKLAHOMA CITY OK,250,185
2017-03-19,PARKERSBURG WV,142,101
2017-03-19,PHOENIX AZ,410,329
2017-03-19,RALEIGH-DURHAM NC,112,96
2017-03-19,SAN ANGELO TX,239,174
2017-03-19,SHREVEPORT LA,304,232
2017-03-19,SPRINGFIELD MO,203,159
2017-03-19,ST JOSEPH MO,112,79
2017-03-19,TULSA OK,94,72
2017-03-19,TYLER-LONGVIEW TX,452,325
2017-03-19,VICTORIA TX,100,77
2017-03-19,WACO-TEMPLE-BRYAN TX,173,121
2017-03-26,ABILENE-SWEETWATER TX,287,187
2017-03-26,ALEXANDRIA LA,200,140
2017-03-26,AMARILLO TX,445,281
2017-03-26,AUSTIN TX,217,181
2017-03-26,All Other Suddenlink DMA Total,779,574
2017-03-26,BLUEFIELD-BECKLEY-OAK HILL WV,184,137
2017-03-26,CHARLESTON-HUNTINGTON WV,476,358
2017-03-26,DALLAS-FT WORTH TX,396,329
2017-03-26,EUREKA CA,127,91
2017-03-26,GREENVILLE-NEW BERN-WASH NC,427,320
2017-03-26,HOUSTON TX,423,331
2017-03-26,JONESBORO AR,166,99
